authors,year,title,doi,pedro_score,manuscript_language,study_country,continent,subregion,economy,english_offical_lang,nonofficiallang_excluded,eng_study,samplesize_report,samplesize_total,sex_report,gender_report,g_gendersex_report,sexgender_femalewoman,sexgender_maleman,age_report_plus,age_mean,height_report,height_mean,weight_report,weight_mean,bmi_report,bmi_mean,comorbidities_report,comorbidities_howmany,comorbidities_mean,p_geog_report,p_geog_categories,p_geog_desc,p_geog_prop,r_ethnicityrace_report,r_ethnicityrace_lumped,r_ethnicityrace_class,r_ethnicityrace_categories,r_ethnicityrace_desc,r_ethnicityrace_prop,r_prilangspoken_report,r_cob_report,r_cob_categories,r_cob_desc,r_cob_prop,o_employment_report,o_employment_categories,o_employment_desc,o_employment_prop,r_religion_report,e_edu_report,e_edu_categories,e_edu_desc,e_edu_prop,e_edu_mean,se_income_report,se_income_categories,se_income_desc,se_income_prop,sc_report,sc_marital_categories,sc_marital_desc,sc_marital_prop,sc_livingarrangement_categories,sc_livingarrangement_desc,sc_livingarrangement_prop,plus_characteristics,plus_which,painvas_report,painvas100_mean,womac_report,womac_painmean,womac_stiffmean,womac_funcmean,womac_totalonly,koos_report,koos_painmean,koos_sympmean,koos_adlmean,koos_sportmean,koos_qolmean,sexgender_report
P. M. Holm; H. M. Schrøder; M. Wernbom; S. T. Skou,2020,Low-dose strength training in addition to neuromuscular exercise and education in patients with knee osteoarthritis in secondary care – a randomized controlled trial,10.1016/j.joca.2020.02.839,9,english,denmark,europe ,north europe,high income,no,yes,unknown,yes,90,no,yes,no,52,38,yes,64.8,no,NA,no,NA,yes,30.9,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,46.25,51.9,51.25,18.45,31.6,yes
T. Horstmann; F. Mayer; H. C. Heitkamp; J. Merk; D. Axmann; H. Bork; H. H. Dickhuth,2000,[Individual isokinetic strength training in patients with gonarthrosis],10.1007/s003930050210,5,non-english,germany,europe ,west europe,high income,no,unknown,unknown,yes,38,no,no,unknown,10,28,yes,52.15,yes,171.45,yes,82.8,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
M. H. Huang; Y. S. Lin; C. L. Lee; R. C. Yang,2005,Use of ultrasound to increase effectiveness of isokinetic exercise for knee osteoarthritis,10.1016/j.apmr.2005.02.007,5,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,120,no,no,unknown,97,23,yes,62,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,49.75,no,,,,,no,NA,,,NA,NA,yes
M. H. Huang; Y. S. Lin; R. C. Yang; C. L. Lee,2003,A comparison of various therapeutic exercises on the functional status of patients with knee osteoarthritis,10.1053/sarh.2003.50021,6,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,132,no,no,unknown,93,39,yes,62,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,46.75,no,,,,,no,NA,,,NA,NA,yes
J. L. Huebner; L. R. Landerman; T. J. Somers; F. J. Keefe; F. Guilak; J. A. Blumenthal; D. S. Caldwell; V. B. Kraus,2016,Exploratory secondary analyses of a cognitive-behavioral intervention for knee osteoarthritis demonstrate reduction in biomarkers of adipocyte inflammation,10.1016/j.joca.2016.04.002,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,169,yes,no,yes,140,29,yes,58.7,no,NA,yes,93.5,yes,34.1,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,60v40,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.7,4.384,31.08,,no,NA,,,NA,NA,yes
M. A. Hunt; F. J. Keefe; C. Bryant; B. R. Metcalf; Y. Ahamed; M. K. Nicholas; K. L. Bennell,2013,"A physiotherapist-delivered, combined exercise and pain coping skills training intervention for individuals with knee osteoarthritis: A pilot study",10.1016/j.knee.2012.07.008,8,english,canada,americas,north america,high income,yes,unknown,unknown,yes,20,no,yes,no,12,8,yes,62.45,no,NA,no,NA,yes,27.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,41.5,yes,6.85,nr,22.5,,no,NA,,,NA,NA,yes
M. A. Hunt; C. L. Pollock; V. B. Kraus; T. Saxne; S. Peters; J. L. Huebner; E. C. Sayre; J. Cibere,2013,"Relationships amongst osteoarthritis biomarkers, dynamic knee joint load, and exercise: results from a randomized controlled pilot study",10.1186/1471-2474-14-115,8,english,canada,americas,north america,high income,yes,yes,unknown,yes,17,yes,no,yes,9,8,yes,66.1,no,NA,no,NA,yes,27,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
R. S. Husted; A. Troelsen; H. Husted; B. M. Grønfeldt; K. Thorborg; T. Kallemose; M. S. Rathleff; T. Bandholm,2022,"Knee-extensor strength, symptoms, and need for surgery after two, four, or six exercise sessions/week using a home-based one-exercise program: a randomized dose-response trial of knee-extensor resistance exercise in patients eligible for knee replacement (the QUADX-1 trial)",10.1016/j.joca.2022.04.001,7,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,140,no,yes,no,76,64,yes,66.7,yes,169.2,yes,91.9,no,NA,no,NA,NA,yes,3,copenhagen or hvidovre or broendby,53v31v16,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,22,no,,,,,yes,49.7,55,55.3,21,32.7,yes
A. M. Imoto; M. S. Peccin; V. F. Trevisani,2012,"Quadriceps strengthening exercises are effective in improving pain, function and quality of life in patients with osteoarthritis of the knee",10.1590/s1413-78522012000300008,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,100,yes,no,no,92,8,yes,60.14,no,NA,no,NA,yes,29.86,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,71.75,no,,,,,no,NA,,,NA,NA,yes
F. Jahanjoo; B. Eftekharsadat; A. Bihamta; A. Babaei-Ghazani,2019,Efficacy of balance training in combination with physical therapy in rehabilitation of knee osteoarthritis: a randomized clinical trial,pdf_CJMB_238.pdf,7,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,60,no,no,unknown,47,13,yes,56.55,no,NA,no,NA,yes,29.91,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,70.3,yes,11.52,2.35,30.25,44.12,no,NA,,,NA,NA,yes
M. H. Jan; C. H. Lin; Y. F. Lin; J. J. Lin; D. H. Lin,2009,"Effects of Weight-Bearing Versus Nonweight-Bearing Exercise on Function, Walking Speed, and Position Sense in Participants With Knee Osteoarthritis: A Randomized Controlled Trial",10.1016/j.apmr.2008.11.018,7,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,106,yes,no,no,73,33,yes,62.46,yes,159.31,yes,63.068,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,nr,nr,24.878,,no,NA,,,NA,NA,yes
M. H. Jan; J. J. Lin; J. J. Liau; Y. F. Lin; D. H. Lin,2008,Investigation of clinical effects of high- and low-resistance training for patients with knee osteoarthritis: a randomized controlled trial,10.2522/ptj.20060300,7,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,98,yes,no,yes,79,19,yes,62.62,yes,161.406,yes,62.628,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.195,nr,25.989,,no,NA,,,NA,NA,yes
M. H. Jan; P. F. Tang; J. J. Lin; S. C. Tseng; Y. F. Lin; D. H. Lin,2008,Efficacy of a target-matching foot-stepping exercise on proprioception and function in patients with knee osteoarthritis,10.2519/jospt.2008.2512,5,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,43,yes,no,yes,31,12,yes,63.3,yes,157.76,yes,62.195,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
C. M. Jenkinson; M. Doherty; A. J. Avery; A. Read; M. A. Taylor; T. H. Sach; P. Silcocks; K. R. Muir,2009,Effects of dietary intervention and quadriceps strengthening exercises on pain and function in overweight people with knee pain: Randomised controlled trial,10.1136/bmj.b3170,7,english,england,europe ,north europe,high income,yes,unknown,unknown,yes,389,yes,no,no,257,132,yes,61.36,yes,164.98,yes,92.74,yes,33.56,yes,5,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.8152,3.919,27.9138,,no,NA,,,NA,NA,yes
S. A. Jessep; N. E. Walsh; J. Ratcliffe; M. V. Hurley,2009,Long-term clinical benefits and costs of an integrated rehabilitation programme compared with outpatient physiotherapy for chronic knee pain,10.1016/j.physio.2009.01.005,7,english,england,europe ,north europe,high income,yes,yes,unknown,yes,64,no,no,unknown,44,20,yes,66.54,yes,166,yes,79.35,yes,29.45,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,5.654,nr,15.9906,,no,NA,,,NA,NA,yes
S. Joshi; S. Kolke,2023,"Effects of progressive neuromuscular training on pain, function, and balance in patients with knee osteoarthritis: a randomised controlled trial",10.1080/21679169.2022.2052178,7,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,54,no,yes,no,44,10,yes,56.625,yes,160.836,yes,66.374,yes,25.704,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,39.44,yes,,,,33.98,no,NA,,,NA,NA,yes
S. Joshi; S. K. Singh; J. S. Vij,2019,"Effect of Retrowalking, a Non-Pharmacological Treatment on Pain, Disability, Balance and Gait in Knee Osteoarthritis: A Randomized Controlled Trial",,5,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,42,yes,no,yes,22,20,yes,52.5,yes,161.15,yes,73.69,yes,28.35,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,78.7,yes,nr,nr,33.5,,no,NA,,,NA,NA,yes
S. Kabiri; F. Halabchi; H. Angoorani; S. Yekaninejad,2018,Comparison of three modes of aerobic exercise combined with resistance training on the pain and function of patients with knee osteoarthritis: A randomized controlled trial,10.1016/j.ptsp.2018.04.001,7,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,70,no,yes,no,56,14,yes,57.78,no,NA,no,NA,yes,26.1,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,60.13,no,,,,,yes,52.059,53.412,47.143,68.857,71.788,yes
S. Karadağ; S. Taşci; N. Doğan; H. Demir; Z. Kiliç,2019,Application of heat and a home exercise program for pain and function levels in patients with knee osteoarthritis: A randomized controlled trial,10.1111/ijn.12772,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,62,no,yes,no,52,10,yes,57.8,no,NA,no,NA,yes,32.347,yes,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,3,housewife or retired or other,76v16v8,no,yes,2,prisch or highschandabove,81v19,NA,no,,,,yes,2,married or single,89v11,NA,,,no,,yes,76.104,yes,12.738,4.206,40.15,,no,NA,,,NA,NA,yes
F. J. Keefe; J. Blumenthal; D. Baucom; G. Affleck; R. Waugh; D. S. Caldwell; P. Beaupre; S. Kashikar-Zuck; K. Wright; J. Egert; J. Lefebvre,2004,Effects of spouse-assisted coping skills training and exercise training in patients with osteoarthritic knee pain: a randomized controlled study,10.1016/j.pain.2004.03.022,3,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,72,yes,no,yes,39,33,yes,57.82,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
F. J. Keefe; D. S. Caldwell; D. Baucom; A. Salley; E. Robinson; K. Timmons; P. Beaupre; J. Weisberg; M. Helms,1996,Spouse-assisted coping skills training in the management of osteoarthritic knee pain,10.1002/1529-0131(199608)9:4<279::AID-ANR1790090413>3.0.CO;2-6,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,88,yes,no,yes,54,34,yes,62.6,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
F. J. Keefe; D. S. Caldwell; D. A. Williams; K. M. Gil; D. Mitchell; C. Robertson; S. Martinez; J. Nunley; J. C. Beckham; J. E. Crisson; M. Helms,1990,Pain coping skills training in the management of osteoarthritic knee pain: A comparative study,https://doi.org/10.1016/S0005-7894(05)80188-1,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,99,no,yes,yes,71,28,yes,64,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
G. Kelley Fitzgerald; S. R. Piva; A. B. Gil; S. R. Wisniewski; C. V. Oddis; J. J. Irrgang,2011,Agility and perturbation training techniques in exercise therapy for reducing pain and improving function in people with knee osteoarthritis: A randomized clinical trial,10.2522/ptj.20100188,8,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,183,yes,no,yes,122,61,yes,63.953,yes,167.801,yes,85.946,yes,30.498,yes,14,NA,no,NA,,,yes,no,race,5,white or black or hispanic or asian or nativeamerican,88v9v0v1v2,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,45.491,yes,nr,nr,19.7,28.1,no,NA,,,NA,NA,yes
J. W. Keogh; J. Grigg; C. J. Vertullo,2018,Is high-intensity interval cycling feasible and more beneficial than continuous cycling for knee osteoarthritic patients? Results of a randomised control feasibility trial,10.7717/peerj.4738,6,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,17,no,yes,no,13,4,yes,62.4,yes,167.9,yes,78.2,yes,27.6,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,,,,35.5,no,NA,,,NA,NA,yes
J. Kigozi; S. Jowett; E. Nicholls; S. Tooth; E. M. Hay; N. E. Foster,2018,Cost-utility analysis of interventions to improve effectiveness of exercise therapy for adults with knee osteoarthritis: the BEEP trial,10.1093/rap/rky018,3,english,england,europe ,north europe,high income,yes,unknown,unknown,yes,514,no,no,unknown,262,252,yes,63,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
V. Kirthika; S. Sudhakar; K. Padmanabhan; S. Ramachandran; M. Kumar,2018,Efficacy of combined proprioceptive exercises and conventional physiotherapy in patients with knee osteoarthritis: a double-blinded two-group pretest–posttest design,,7,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,40,no,no,unknown,40,0,yes,58.5,yes,156.3,yes,81.2,yes,34.15,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,64.5,yes,,,,52.8,no,NA,,,NA,NA,yes
P. A. Kovar; J. P. Allegrante; C. R. MacKenzie; M. G. Peterson; B. Gutin; M. E. Charlson,1992,"Supervised fitness walking in patients with osteoarthritis of the knee. A randomized, controlled trial",10.7326/0003-4819-116-7-529,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,102,yes,no,yes,85,17,yes,69.448,yes,161.039,yes,76.509,no,NA,no,NA,NA,no,NA,,,yes,no,race,3,white or black or hispanic,89v8v3,no,no,NA,,,no,NA,,,no,yes,4,collegegraduate or lessthan4yearscollege or highschoolgraduate or lessthan11grade,41v25v23v11,NA,no,,,,yes,2,married or unmarried,23v77,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
O. Krasilshchikov; N. B. Sungkit; T. M. Shihabudin; I. Shaw; B. S. Shaw,2011,Effects of an eight-week training programme on pain relief and physical condition of overweight and obese women with early stage primary knee osteoarthritis,,7,english,malaysia,asia,south-east asia,upper-middle income,no,unknown,unknown,yes,16,no,no,unknown,16,0,yes,58.315,no,NA,yes,62.45,yes,27.55,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,5.505,nr,20.815,,no,NA,,,NA,NA,yes
S. Kumar; A. Kumar; R. Kumar,2013,Proprioceptive training as an adjunct in osteoarthritis of knee,10.1142/S0218957713500024,6,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,44,yes,no,yes,25,19,yes,53.25,yes,156.2,yes,61.995,yes,25.43,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,50,unclear,,,,,no,NA,,,NA,NA,yes
V. Kuptniratsaikul; C. Kittichaikarn; P. Suntornpiyapan; K. Kovintaset; S. Inthibal,2019,Is four-week underwater treadmill exercise regimen compared to home exercise efficacious for pain relief and functional improvement in obese patients with knee osteoarthritis? A randomized controlled trial,10.1177/0269215518792041,8,english,thailand,asia,south-east asia,upper-middle income,no,unknown,unknown,yes,80,no,yes,no,75,5,yes,61.9,no,NA,yes,70.75,yes,28.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,64.5,no,,,,,no,NA,,,NA,NA,yes
V. Kuptniratsaikul; O. Tosayanonda; S. Nilganuwong; V. Thamalikitkul,2002,The efficacy of a muscle exercise program to improve functional performance of the knee in patients with osteoarthritis,(PDF) The Efficacy of a Muscle Exercise Program to Improve Functional Performance of the Knee in Patients with Osteoarthritis,5,english,thailand,asia,south-east asia,upper-middle income,no,unknown,unknown,yes,392,yes,no,yes,306,86,yes,67.7,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,2,educated or noteducated,82v18,NA,yes,2,income or noincome,95v5,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
Z. Lai; Y. Zhang; S. Lee; L. Wang,2018,Effects of strength exercise on the knee and ankle proprioception of individuals with knee osteoarthritis,10.1080/15438627.2018.1431541,6,english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,34,yes,no,yes,32,2,yes,63.66,yes,157.55,yes,57.252,yes,23.317,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,37.058,no,,,,,no,NA,,,NA,NA,yes
A. C. Lee; W. F. Harvey; J. B. Wong; L. L. Price; X. Han; M. Chung; J. B. Driban; L. P. K. Morgan; N. L. Morgan; C. Wang,2017,Effects of Tai Chi versus Physical Therapy on Mindfulness in Knee Osteoarthritis,10.1007/s12671-017-0692-3,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,86,yes,no,yes,64,22,yes,60.365,no,NA,no,NA,yes,32.746,no,NA,NA,no,NA,,,yes,no,race,3,white or black or asianother,48v34v18,no,no,NA,,,no,NA,,,no,yes,4,highschool or collegetradeschool or collegegraduate or graduateschool,16v37v20v27,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.632,nr,37.343,,no,NA,,,NA,NA,yes
H. J. Lee; H. J. Park; Y. Chae; S. Y. Kim; S. N. Kim; S. T. Kim; J. H. Kim; C. S. Yin; H. Lee,2009,"Tai Chi Qigong for the quality of life of patients with knee osteoarthritis: a pilot, randomized, waiting list controlled trial",10.1177/0269215508101746,8,english,korea,asia,east asia,high income,no,unknown,unknown,yes,44,yes,no,yes,41,3,yes,69.1,yes,152.415,yes,60.55,yes,26,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,,,,32.986,no,NA,,,NA,NA,yes
H. Y. Lee,2006,"[Comparison of effects among Tai-Chi exercise, aquatic exercise, and a self-help program for patients with knee osteoarthritis]",10.4040/jkan.2006.36.3.571,3,non-english,korea,asia,east asia,high income,no,unknown,unknown,yes,50,no,no,unknown,49,1,yes,62.868,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,none or parttime,90v10,no,yes,years,,,9.8368,no,,,,yes,2,married or separated,82v18,NA,,,no,,no,NA,yes,7.88,3.4496,36.2848,,no,NA,,,NA,NA,yes
H. Y. Lee; K. J. Lee,2008,[Effects of Tai Chi exercise in elderly with knee osteoarthritis],10.4040/jkan.2008.38.1.11,3,non-english,korea,asia,east asia,high income,no,unknown,unknown,yes,46,no,yes,yes,36,10,yes,75.457,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,years,,,6.395,no,,,,no,NA,,,NA,,,no,,no,NA,yes,4.8734,1.6973,18.0186,,no,NA,,,NA,NA,yes
S. León-Ballesteros; R. Espinosa-Morales; P. Clark-Peralta; A. G. Gómez-Pineda; J. H. Guadarrama-Becerril,2020,Kinesiotape and quadriceps strengthening with elastic band in women with knee osteoarthritis and overweight or obesity. A randomized clinical trial,10.1016/j.reuma.2018.03.001,6,non-english,mexico,americas,central america,upper-middle income,no,unknown,unknown,yes,32,no,no,unknown,32,0,yes,58.05,no,NA,no,NA,yes,29.45,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,65.5,yes,8.35,3.2,24.35,,no,NA,,,NA,NA,yes
J. Li; L. Cheng,2019,The effect of Taichi and resistance training on osteoarthritis symptoms of the elderly and the exercise capacity,10.3969/j.issn.1001-1242.2019.11.007,5,non-english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,91,no,no,unknown,35,56,yes,65.898,yes,168.629,yes,61.94,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,6.60088,3.16044,20.44396,,no,NA,,,NA,NA,yes
B. W. Lim; R. S. Hinman; T. V. Wrigley; L. Sharma; K. L. Bennell,2008,"Does knee malalignment mediate the effects of quadriceps strengthening on knee adduction moment, pain, and function in medial knee osteoarthritis? A randomized controlled trial",10.1002/art.23823,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,107,yes,no,yes,59,48,yes,64.597,yes,165.467,yes,79.418,yes,28.964,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.1262,nr,23.67012,,no,NA,,,NA,NA,yes
J. Y. Lim; E. Tchai; S. N. Jang,2010,Effectiveness of aquatic exercise for obese patients with knee osteoarthritis: a randomized controlled trial,10.1016/j.pmrj.2010.04.004,7,english,korea,asia,east asia,high income,no,unknown,unknown,yes,75,no,yes,yes,65,10,yes,65.598,yes,155.313,yes,66.9,yes,27.736,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,,,,33.489,no,NA,,,NA,NA,yes
D. H. Lin; C. H. Lin; Y. F. Lin; M. H. Jan,2009,"Efficacy of 2 non-weight-bearing interventions, proprioception training versus strength training, for patients with knee osteoarthritis: a randomized clinical trial",10.2519/jospt.2009.2923,8,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,108,no,yes,no,75,33,yes,62.5,yes,160.566,yes,62.133,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.433333333,nr,25.06666667,,no,NA,,,NA,NA,yes
D. H. Lin; Y. F. Lin; H. M. Chai; Y. C. Han; M. Jan,2007,Comparison of proprioceptive functions between computerized proprioception facilitation exercise and closed kinetic chain exercise in patients with knee osteoarthritis,10.1007/s10067-006-0324-0,4,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,81,no,yes,no,62,19,yes,61.792,yes,160.049,yes,61.753,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,unclear,nr,nr,,,no,NA,,,NA,NA,yes
Y. T. Lin; W. C. Lee; R. L. Hsieh,2020,Active video games for knee osteoarthritis improve mobility but not WOMAC score: A randomized controlled trial,10.1016/j.rehab.2019.11.008,8,english,taiwan,asia,east asia,high income,no,unknown,unknown,yes,80,no,yes,no,39,41,yes,57,yes,157.75,yes,64.1,yes,26.5,yes,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,working or notworking,5v95,no,yes,2,below12thgrade or above12thgrade,58v42,NA,no,,,,yes,3,single or married or divorced,13v78v9,NA,,,personal characteristics,smokingdrinking,no,NA,yes,6.628,2.842,21.722,,no,NA,,,NA,NA,yes
J. Liu; L. Chen; X. Chen; K. Hu; Y. Tu; M. Lin; J. Huang; W. Liu; J. Wu; Z. Qiu; J. Zhu; M. Li; J. Park; G. Wilson; C. Lang; G. Xie; J. Tao; J. Kong,2019,Modulatory effects of different exercise modalities on the functional connectivity of the periaqueductal grey and ventral tegmental area in patients with knee osteoarthritis: a randomised multimodal magnetic resonance imaging study,10.1016/j.bja.2019.06.017,4,english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,108,no,yes,no,83,25,no,NA,no,NA,no,NA,yes,23.163,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,70.603,53.59,53.865,53.565,53.315,yes
J. Lü; L. Huang; X. Wu; W. Fu; Y. Liu,2017,Effect of Tai Ji Quan training on self-reported sleep quality in elderly Chinese women with knee osteoarthritis: a randomized controlled trail,10.1016/j.sleep.2016.12.024,7,english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,46,no,no,unknown,46,0,yes,64.57,no,NA,no,NA,yes,25.14,yes,4,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,yes,years,,,9.985,no,,,,no,NA,,,NA,,,no,,no,NA,yes,9.055,4.165,25.035,,no,NA,,,NA,NA,yes
